Имя Катушки;Тип катушки;Тип оболочки;Толщина стены;Мин. Радиус Изгиба;Единицы измерения;Внутренний диаметр до усадки;Наружный диаметр;Цвет;Плотность Провода;Единицы измерения массы;Наименование;Обозначение;Стандарт;
TRUBKA_305_TV-40_3X1;SHEATH;TUBE;1;5;MM;3x1;5;Белый;1.612e-05;GRAM;"Трубка 305 ТВ-40, 3x1, ГОСТ 19034-82";Trubka_305_TV-40_3x1;ГОСТ 19034-82;
TRUBKA_305_TV-40T_0-5_WHTV;SHEATH;TUBE;0.3;5;MM;0.5;1.1;Белый;0.00097;GRAM;Трубка 305 ТВ-40Т, 0,5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_0-5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_0-75_WHTV;SHEATH;TUBE;0.3;5;MM;0.75;1.35;Белый;0.00127;GRAM;Трубка 305 ТВ-40Т, 0,75, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_0-75_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_1_WHTV;SHEATH;TUBE;0.4;5;MM;1;1.8;Белый;0.00226;GRAM;Трубка 305 ТВ-40Т, 1, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_1_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_1-5_WHTV;SHEATH;TUBE;0.4;5;MM;1.5;2.3;Белый;0.00306;GRAM;Трубка 305 ТВ-40Т, 1,5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_1-5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_1-75_WHTV;SHEATH;TUBE;0.4;5;MM;1.75;2.55;Белый;0.00347;GRAM;Трубка 305 ТВ-40Т, 1,75, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_1-75_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_2_WHTV;SHEATH;TUBE;0.4;5;MM;2;2.8;Белый;0.00387;GRAM;Трубка 305 ТВ-40Т, 2, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_2_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_2-5_WHTV;SHEATH;TUBE;0.4;5;MM;2.5;3.3;Белый;0.00468;GRAM;Трубка 305 ТВ-40Т, 2,5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_2-5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_3_WHTV;SHEATH;TUBE;0.4;5;MM;3;3.8;Белый;0.00548;GRAM;Трубка 305 ТВ-40Т, 3, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_3_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_3-5_WHTV;SHEATH;TUBE;0.4;5;MM;3.5;4.3;Белый;0.00629;GRAM;Трубка 305 ТВ-40Т, 3,5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_3-5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_4_WHTV;SHEATH;TUBE;0.6;7;MM;4;5.2;Белый;0.01112;GRAM;Трубка 305 ТВ-40Т, 4, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_4_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_4-5_WHTV;SHEATH;TUBE;0.6;7;MM;4.5;5.7;Белый;0.01233;GRAM;Трубка 305 ТВ-40Т, 4,5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_4-5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_5_WHTV;SHEATH;TUBE;0.6;7;MM;5;6.2;Белый;0.01354;GRAM;Трубка 305 ТВ-40Т, 5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_6_WHTV;SHEATH;TUBE;0.6;7;MM;6;7.2;Белый;0.01596;GRAM;Трубка 305 ТВ-40Т, 6, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_6_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_7_WHTV;SHEATH;TUBE;0.6;7;MM;7;8.2;Белый;0.01838;GRAM;Трубка 305 ТВ-40Т, 7, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_7_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_8_WHTV;SHEATH;TUBE;0.6;7;MM;8;9.2;Белый;0.0208;GRAM;Трубка 305 ТВ-40Т, 8, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_8_WHTV;ГОСТ 19034-82;
